winrate,champion,games
'Aatrox', 0.490702479338843, 968,
'Ahri', 0.5173370319001387, 8652,
'Akali', 0.4966159052453469, 3546,
'Alistar', 0.49498602663159624, 6083,
'Amumu', 0.5128004690248192, 5117,
'Anivia', 0.43730729701952725, 1946,
'Annie', 0.5062831188493565, 6605,
'Ashe', 0.46647200966572694, 9932,
'Azir', 0.48586118251928023, 4279,
'Bard', 0.42581423401688784, 3316,
'Blitzcrank', 0.48901290547610743, 14335,
'Brand', 0.46075715604801476, 3249,
'Braum', 0.49074074074074076, 756,
'Caitlyn', 0.4465437788018433, 2170,
'Cassiopeia', 0.46959459459459457, 1184,
'Chogath', 0.46798542425819883, 7684,
'Corki', 0.4630642954856361, 1462,
'Darius', 0.5293931731984829, 3164,
'Diana', 0.5398443788569895, 3727,
'Draven', 0.5039556962025317, 1264,
'DrMundo', 0.4925893635571055, 3441,
'Elise', 0.4752475247524752, 707,
'Evelynn', 0.5382059800664452, 9933,
'Ezreal', 0.5022877233540433, 20763,
'FiddleSticks', 0.480814639905549, 3388,
'Fiora', 0.5495673671199011, 4045,
'Fizz', 0.5510032566446055, 9519,
'Galio', 0.5419979260283443, 2893,
'Gangplank', 0.4883685570928995, 6577,
'Garen', 0.4783634933123525, 2542,
'Gnar', 0.4613918017159199, 1049,
'Gragas', 0.46756367131186927, 2081,
'Graves', 0.4963273871983211, 1906,
'Hecarim', 0.5250606732088213, 9477,
'Heimerdinger', 0.4846083511124657, 3281,
'Irelia', 0.521792510742787, 1629,
'Janna', 0.4726205997392438, 1534,
'JarvanIV', 0.5057471264367817, 1827,
'Jax', 0.5579307396323215, 7017,
'Jayce', 0.4709241952232606, 5778,
'Jinx', 0.46177335444469575, 8842,
'Kalista', 0.46153846153846156, 741,
'Karma', 0.46516747916339046, 6359,
'Karthus', 0.5010829405019748, 7849,
'Kassadin', 0.48769574944071586, 4023,
'Katarina', 0.4956808696496166, 10303,
'Kayle', 0.5189481825212684, 2586,
'Kennen', 0.5299914310197087, 2334,
'Khazix', 0.5144367629117528, 2459,
'KogMaw', 0.48280254777070064, 3140,
'Leblanc', 0.460522909655708, 7726,
'LeeSin', 0.46354587032553135, 3717,
'Leona', 0.48629686472264855, 4561,
'Lissandra', 0.45987825124515774, 1807,
'Lucian', 0.4796735448105944, 6494,
'Lulu', 0.5065285907248986, 4442,
'Lux', 0.4625609961299007, 11886,
'Malphite', 0.49496044218055707, 9227,
'Malzahar', 0.49694574200503056, 5566,
'Maokai', 0.520641920862428, 8163,
'MasterYi', 0.539065165472535, 11724,
'MissFortune', 0.44471038774533267, 2089,
'MonkeyKing', 0.5603553921568627, 9792,
'Mordekaiser', 0.5014073180538802, 2487,
'Morgana', 0.4978622327790974, 10525,
'Nami', 0.48779035139964266, 3358,
'Nasus', 0.511277209546289, 7626,
'Nautilus', 0.4783410138248848, 3255,
'Nidalee', 0.48360365464976274, 14119,
'Nocturne', 0.549490538573508, 1374,
'Nunu', 0.4701627486437613, 2212,
'Olaf', 0.4742765273311897, 1244,
'Orianna', 0.5064848686398403, 3007,
'Pantheon', 0.4669421487603306, 3872,
'Poppy', 0.5492765492765492, 3663,
'Quinn', 0.49230769230769234, 2275,
'Rammus', 0.5164712451144612, 1791,
'RekSai', 0.46266666666666667, 1500,
'Renekton', 0.48452611218568664, 1034,
'Rengar', 0.5149612116734392, 2707,
'Riven', 0.49550994227068634, 6236,
'Rumble', 0.525891829689298, 1738,
'Ryze', 0.4737101950135769, 4051,
'Sejuani', 0.5244228432563791, 4115,
'Shaco', 0.5278368323146426, 15052,
'Shen', 0.5218104296490653, 3049,
'Shyvana', 0.5172824791418356, 839,
'Singed', 0.48895658796648894, 2626,
'Sion', 0.4551098376313276, 2094,
'Sivir', 0.49775360605344054, 4229,
'Skarner', 0.5543695797198132, 1499,
'Sona', 0.5580778790389396, 6035,
'Soraka', 0.49514563106796117, 3914,
'Swain', 0.4966830729723946, 4673,
'Syndra', 0.48491497531541417, 3646,
'Talon', 0.5239179954441914, 3951,
'Taric', 0.46384615384615385, 1300,
'Teemo', 0.5169290354822589, 16008,
'Thresh', 0.4170994806232521, 2503,
'Tristana', 0.47398543184183145, 1922,
'Trundle', 0.4901828029790115, 1477,
'Tryndamere', 0.5358649789029536, 3792,
'TwistedFate', 0.5032533550223668, 4918,
'Twitch', 0.4707038930397169, 2543,
'Udyr', 0.5027726432532348, 2164,
'Urgot', 0.5074834667594849, 2873,
'Varus', 0.45139664804469276, 2685,
'Vayne', 0.5029345372460496, 2215,
'Veigar', 0.5071380013596193, 5884,
'Velkoz', 0.44206426484907496, 4108,
'Vi', 0.526568598018613, 3331,
'Viktor', 0.4842041312272175, 1646,
'Vladimir', 0.5058259081562714, 5836,
'Volibear', 0.498, 1500,
'Warwick', 0.5127897681854516, 2502,
'Xerath', 0.45919562670831704, 2561,
'XinZhao', 0.5399396102113643, 7286,
'Yasuo', 0.4985349518627041, 2389,
'Yorick', 0.489556135770235, 1532,
'Zac', 0.5251727541954591, 1013,
'Zed', 0.5309705472147018, 12189,
'Ziggs', 0.45156356220258326, 5884,
'Zilean', 0.4572972972972973, 1850,
'Zyra', 0.5123306703716568, 2879]]
